customer_id,signup_date,city,customer_segment
1,2024-07-08,Delhi,Premium
2,2025-02-28,Pune,Regular
3,2025-11-29,Pune,Regular
4,2025-10-02,Pune,Regular
5,2024-02-10,Pune,New
6,2024-09-18,Delhi,Regular
7,2025-09-23,Pune,Regular
8,2025-07-02,Delhi,Regular
9,2024-08-30,Hyderabad,Regular
10,2024-05-21,Bengaluru,New
11,2024-06-22,Mumbai,Regular
12,2024-09-30,Bengaluru,New
13,2024-04-30,Delhi,New
14,2025-07-09,Bengaluru,Regular
15,2024-04-06,Hyderabad,Regular
16,2025-05-11,Pune,Regular
17,2025-01-31,Mumbai,Regular
18,2024-04-24,Bengaluru,Regular
19,2025-03-22,Delhi,Regular
20,2024-10-30,Pune,Regular
21,2024-05-06,Mumbai,New
22,2025-04-02,Delhi,Regular
23,2024-10-31,Bengaluru,Regular
24,2025-05-20,Hyderabad,Regular
25,2024-06-12,Pune,New
26,2024-02-25,Delhi,New
27,2025-03-03,Pune,Regular
28,2024-08-04,Pune,Premium
29,2025-04-12,Delhi,Regular
30,2024-01-19,Delhi,Premium
31,2024-12-19,Bengaluru,Premium
32,2025-03-26,Mumbai,New
33,2025-02-21,Bengaluru,Regular
34,2025-03-17,Hyderabad,Regular
35,2025-09-22,Pune,Regular
36,2025-11-21,Bengaluru,Regular
37,2024-10-16,Mumbai,New
38,2024-09-03,Hyderabad,Regular
39,2024-01-21,Delhi,New
40,2025-03-17,Bengaluru,Regular
41,2024-04-27,Hyderabad,New
42,2025-01-21,Pune,Regular
43,2024-03-13,Pune,Regular
44,2025-04-11,Delhi,Premium
45,2024-02-29,Bengaluru,Regular
46,2025-10-15,Delhi,Regular
47,2024-09-28,Mumbai,Premium
48,2025-11-13,Hyderabad,Premium
49,2024-08-04,Pune,Regular
50,2024-03-28,Pune,Regular
51,2024-01-30,Pune,Premium
52,2024-09-07,Bengaluru,Premium
53,2024-06-27,Pune,Premium
54,2025-10-31,Hyderabad,Regular
